Property_ID,City,State,Locality,Property_Type,BHK,Area_sqft,Property_Price_INR,Monthly_Rent_INR,Rental_Yield_pct,Price_per_sqft,Demand_Score,Supply_Score,Interest_Rate_pct,Inflation_pct,GDP_Growth_pct,Latitude,Longitude,Listing_Status,Year
P0097,Bengaluru,Karnataka,HSR Layout,Commercial,4,1669,8653765,21634,3,5185,72,62,8.33,4.17,7.78,13.037253,77.637678,Rented,2025
P0098,Bengaluru,Karnataka,Electronic City,Apartment,4,727,13668327,34170,3,18801,83,42,6.87,6.47,7.11,12.926252,77.652558,Available,2024
P0099,Pune,Maharashtra,Kharadi,Apartment,5,1427,19903796,49759,3,13948,98,36,6.01,5.72,6.97,18.567884,73.806223,Sold,2024
P0100,Delhi,Delhi,Rohini,Villa,3,1479,17875194,44687,3,12086,81,51,6.27,6.23,5.74,28.659966,77.240545,Available,2024
P0101,Bengaluru,Karnataka,Whitefield,Plot,0,2816,20621568,51553,3,7323,77,33,6.93,5.06,6.78,12.97879,77.541977,Rented,2023
P0102,Hyderabad,Telangana,Gachibowli,Apartment,3,2982,45338328,113345,3,15204,83,49,8.17,5.58,7.16,17.356733,78.480805,Rented,2024
P0103,Delhi,Delhi,Dwarka,Villa,3,2492,30641632,76604,3,12296,82,54,6.67,6.64,7.98,28.632673,77.244734,Available,2024
P0104,Delhi,Delhi,Saket,Commercial,2,1567,23896750,59741,3,15250,62,63,8.44,6.55,5.81,28.687882,77.145262,Sold,2023
P0105,Pune,Maharashtra,Kharadi,Commercial,4,1721,18807088,47017,3,10928,56,43,6.7,7.1,6.89,18.442419,73.913392,Sold,2023
P0106,Delhi,Delhi,Saket,Commercial,4,690,6310740,15776,3,9146,66,81,6.01,4.85,8.06,28.646086,77.222988,Rented,2025
P0107,Pune,Maharashtra,Wakad,Villa,2,3227,27655390,69138,3,8570,79,85,6.78,6.2,5.79,18.507533,73.90188,Rented,2023
P0108,Bengaluru,Karnataka,HSR Layout,Plot,0,3064,15761216,39403,3,5144,89,82,7.3,6.31,8.12,13.034719,77.567089,Available,2025
P0109,Hyderabad,Telangana,Gachibowli,Apartment,3,2825,32880175,82200,3,11639,60,55,7.3,4.35,7.22,17.391566,78.521467,Rented,2022
P0110,Bengaluru,Karnataka,Electronic City,Commercial,4,2471,28129864,70324,3,11384,93,53,6.98,6.67,5.87,13.049115,77.571476,Available,2024
P0111,Bengaluru,Karnataka,HSR Layout,Plot,0,1451,7162136,17905,3,4936,54,83,8.29,6.2,7.52,12.984428,77.532081,Sold,2025
P0112,Delhi,Delhi,Dwarka,Plot,0,3092,35394124,88485,3,11447,60,46,8.32,4.24,7.9,28.564808,77.231752,Rented,2023
P0113,Pune,Maharashtra,Kharadi,Plot,0,3117,44089965,110224,3,14145,98,46,7.95,5.64,7.85,18.477273,73.889372,Rented,2024
P0114,Hyderabad,Telangana,Kondapur,Villa,4,611,8379254,20948,3,13714,72,61,7.64,5.12,6.95,17.404738,78.420367,Sold,2023
P0115,Bengaluru,Karnataka,HSR Layout,Apartment,1,2912,44084768,110211,3,15139,100,47,7.33,5.21,7.25,12.996769,77.54816,Available,2024
P0116,Bengaluru,Karnataka,Electronic City,Apartment,5,1184,14391520,35978,3,12155,61,87,6.87,4.53,8.21,13.018268,77.541466,Rented,2022
P0117,Delhi,Delhi,Saket,Commercial,2,2625,30140250,75350,3,11482,83,40,7.85,5.54,8.15,28.62271,77.171319,Available,2023
P0118,Hyderabad,Telangana,Madhapur,Apartment,4,2513,23200016,58000,3,9232,94,92,6.62,4.58,7.3,17.422534,78.432357,Sold,2025
P0119,Delhi,Delhi,Rohini,Commercial,4,2135,39397155,98492,3,18453,76,39,6.45,5.26,7.44,28.53719,77.136339,Rented,2024
P0120,Mumbai,Maharashtra,Powai,Plot,0,3185,29410290,73525,3,9234,52,57,7.8,6.19,6.52,19.13387,72.856285,Sold,2023
P0121,Bengaluru,Karnataka,HSR Layout,Commercial,4,1630,36926020,92315,3,22654,53,67,6.73,6.9,6.71,12.9722,77.558072,Rented,2024
P0122,Pune,Maharashtra,Wakad,Plot,0,4443,37161252,92903,3,8364,71,54,6.79,5.05,7.26,18.541971,73.902174,Available,2025
P0123,Delhi,Delhi,Rohini,Apartment,4,1830,14740650,36851,3,8055,50,35,6.47,7.23,7.33,28.639182,77.255244,Rented,2025
P0124,Delhi,Delhi,Dwarka,Apartment,2,761,14841783,37104,3,19503,90,52,6.25,4.63,5.61,28.657826,77.275253,Rented,2022
P0125,Bengaluru,Karnataka,Whitefield,Commercial,5,1656,23841432,59603,3,14397,61,83,6.09,4.07,7.2,12.984125,77.660813,Sold,2022
P0126,Mumbai,Maharashtra,Bandra,Plot,0,3028,20293656,50734,3,6702,50,79,7.48,7.48,7.48,19.020847,72.920882,Rented,2022
P0127,Mumbai,Maharashtra,Powai,Plot,0,2069,19599637,48999,3,9473,90,31,7.07,4.03,7.51,19.153864,72.935055,Available,2022
P0128,Pune,Maharashtra,Kharadi,Apartment,3,2930,36443340,91108,3,12438,78,53,8.31,5.28,7.74,18.551575,73.799868,Available,2024
P0129,Delhi,Delhi,Saket,Plot,0,3086,39574864,98937,3,12824,53,34,6.03,4.05,7.45,28.664675,77.141749,Sold,2024
P0130,Delhi,Delhi,Dwarka,Plot,0,3694,23855852,59639,3,6458,70,77,8.37,6.55,6.91,28.560535,77.283617,Available,2024
P0131,Pune,Maharashtra,Wakad,Plot,0,3153,54039267,135098,3,17139,99,87,8.36,6.75,7.2,18.487182,73.786402,Rented,2024
P0132,Delhi,Delhi,Saket,Apartment,2,3062,44741944,111854,3,14612,87,84,8.44,4.86,6.66,28.594092,77.252431,Available,2025
P0133,Bengaluru,Karnataka,Electronic City,Apartment,3,1677,22273914,55684,3,13282,77,50,7.47,6.86,8.16,12.898367,77.647917,Rented,2023
P0134,Bengaluru,Karnataka,Electronic City,Plot,0,2620,57681920,144204,3,22016,55,92,7.99,4.7,7.75,13.040676,77.552045,Rented,2022
P0135,Hyderabad,Telangana,Madhapur,Villa,3,3001,14425807,36064,3,4807,100,79,7.15,4.31,7.92,17.428547,78.443959,Rented,2024
P0136,Delhi,Delhi,Rohini,Plot,0,3273,77933403,194833,3,23811,62,54,6.53,4.32,7.92,28.580267,77.221459,Sold,2025
P0137,Delhi,Delhi,Dwarka,Villa,1,2620,43900720,109751,3,16756,56,77,7.58,6.76,5.97,28.629454,77.184187,Rented,2022
P0138,Mumbai,Maharashtra,Andheri,Villa,5,2591,61471475,153678,3,23725,86,57,6.65,6.73,6.78,19.14744,72.92046,Rented,2023
P0139,Bengaluru,Karnataka,Whitefield,Commercial,2,1340,22635280,56588,3,16892,55,33,6.13,5.95,8.11,12.964925,77.666153,Available,2025
P0140,Mumbai,Maharashtra,Powai,Apartment,3,1905,43807380,109518,3,22996,64,41,8.39,6.34,6.68,19.067735,72.823257,Available,2023
P0141,Pune,Maharashtra,Hinjewadi,Commercial,3,842,19041830,47604,3,22615,51,36,6.64,5.8,7.72,18.562264,73.854048,Available,2023
P0142,Bengaluru,Karnataka,Whitefield,Villa,3,3015,72001215,180003,3,23881,78,43,7.18,5.3,6.67,12.951597,77.575343,Sold,2023
P0143,Pune,Maharashtra,Wakad,Apartment,4,1399,7946320,19865,3,5680,60,58,6.19,6.17,6.62,18.560254,73.90123,Available,2025
P0144,Mumbai,Maharashtra,Powai,Apartment,4,1991,30002379,75005,3,15069,64,91,6.29,5.28,6.5,19.11377,72.826538,Sold,2023
P0145,Hyderabad,Telangana,Gachibowli,Commercial,4,2286,28769310,71923,3,12585,59,33,6.68,6.94,6.5,17.331848,78.485261,Sold,2025
P0146,Hyderabad,Telangana,Gachibowli,Villa,5,832,9500608,23751,3,11419,85,91,8.09,4.42,7.76,17.460312,78.47583,Sold,2023
P0147,Pune,Maharashtra,Hinjewadi,Plot,0,2385,43213815,108034,3,18119,60,37,8.08,7.42,5.93,18.54277,73.847438,Rented,2024
P0148,Delhi,Delhi,Dwarka,Plot,0,1207,26258285,65645,3,21755,68,53,6.9,4.14,6.73,28.578196,77.15791,Available,2023
P0149,Pune,Maharashtra,Hinjewadi,Apartment,1,3092,64112620,160281,3,20735,98,65,6.44,4.48,7.51,18.540951,73.807449,Sold,2023
P0150,Mumbai,Maharashtra,Andheri,Plot,0,4645,29328530,73321,3,6314,83,74,6.84,6.95,8.09,19.074883,72.800171,Sold,2023
P0151,Bengaluru,Karnataka,Whitefield,Villa,5,2103,11989203,29973,3,5701,60,77,7.44,7.0,6.57,13.040739,77.669598,Available,2022
P0152,Bengaluru,Karnataka,Electronic City,Villa,3,2162,50556208,126390,3,23384,98,37,6.73,4.38,7.69,12.96303,77.518703,Rented,2023
P0153,Mumbai,Maharashtra,Andheri,Apartment,2,3135,32842260,82105,3,10476,60,43,6.78,5.94,8.37,18.999112,72.94591,Rented,2023
P0154,Bengaluru,Karnataka,Whitefield,Plot,0,3341,41127710,102819,3,12310,94,86,6.26,7.04,7.65,12.898827,77.534288,Sold,2024
P0155,Mumbai,Maharashtra,Andheri,Apartment,4,1160,25806520,64516,3,22247,87,59,8.15,4.52,7.22,19.115453,72.823992,Available,2025
P0156,Hyderabad,Telangana,Kondapur,Apartment,4,812,13319236,33298,3,16403,71,81,6.6,5.17,6.81,17.461995,78.535401,Sold,2025
P0157,Delhi,Delhi,Dwarka,Commercial,5,1200,19296000,48240,3,16080,65,84,7.66,4.04,5.83,28.563899,77.180896,Available,2022
P0158,Pune,Maharashtra,Hinjewadi,Plot,0,2826,54731142,136827,3,19367,90,35,8.02,7.1,8.15,18.4459,73.879352,Sold,2024
P0159,Delhi,Delhi,Dwarka,Apartment,3,1098,23660802,59152,3,21549,50,85,6.59,4.14,5.84,28.589509,77.155717,Available,2024
P0160,Mumbai,Maharashtra,Bandra,Villa,4,1107,23540355,58850,3,21265,58,67,8.29,6.02,6.32,19.113749,72.916165,Sold,2025
P0161,Delhi,Delhi,Saket,Villa,4,1424,32004400,80011,3,22475,95,76,7.15,5.92,7.34,28.608934,77.178681,Available,2024
P0162,Pune,Maharashtra,Hinjewadi,Plot,0,3598,62932618,157331,3,17491,50,75,6.41,7.33,6.47,18.492476,73.819888,Available,2024
P0163,Mumbai,Maharashtra,Andheri,Villa,5,873,21261042,53152,3,24354,72,86,7.64,5.81,8.0,19.052658,72.919755,Rented,2023
P0164,Pune,Maharashtra,Kharadi,Commercial,3,1174,13072490,32681,3,11135,89,65,8.05,5.81,7.72,18.559325,73.898251,Sold,2024
P0165,Pune,Maharashtra,Kharadi,Apartment,1,2281,51368120,128420,3,22520,87,45,7.24,7.37,7.22,18.507266,73.90209,Rented,2022
P0166,Hyderabad,Telangana,Madhapur,Plot,0,2379,38192466,95481,3,16054,68,75,6.98,5.94,6.65,17.356519,78.532632,Sold,2025
P0167,Hyderabad,Telangana,Madhapur,Villa,5,1845,17068095,42670,3,9251,77,78,7.45,4.31,8.26,17.356819,78.541642,Available,2024
P0168,Pune,Maharashtra,Kharadi,Apartment,1,794,10247364,25618,3,12906,86,93,6.75,5.88,6.44,18.539599,73.846646,Rented,2025
P0169,Hyderabad,Telangana,Madhapur,Commercial,1,3035,48575175,121437,3,16005,78,31,7.69,5.84,5.8,17.364906,78.470843,Rented,2023
P0170,Pune,Maharashtra,Kharadi,Plot,0,2845,53835935,134589,3,18923,99,73,7.73,6.61,5.78,18.498435,73.835365,Available,2024
P0171,Delhi,Delhi,Dwarka,Apartment,3,3425,53947175,134867,3,15751,82,83,7.58,5.83,7.95,28.567147,77.271903,Sold,2023
P0172,Mumbai,Maharashtra,Powai,Apartment,3,2934,17269524,43173,3,5886,94,82,6.03,4.01,7.63,19.084469,72.944425,Sold,2022
P0173,Delhi,Delhi,Dwarka,Apartment,2,1317,27410721,68526,3,20813,99,64,8.18,7.13,7.04,28.556895,77.160768,Rented,2022
P0174,Pune,Maharashtra,Hinjewadi,Apartment,1,1010,7063940,17659,3,6994,60,92,8.06,6.15,7.92,18.450338,73.778699,Rented,2024
P0175,Pune,Maharashtra,Wakad,Villa,3,1728,17368128,43420,3,10051,52,64,7.57,7.01,8.34,18.450484,73.807364,Rented,2025
P0176,Mumbai,Maharashtra,Andheri,Villa,4,2986,17733854,44334,3,5939,78,36,7.55,4.87,5.63,19.144932,72.934454,Sold,2022
P0177,Hyderabad,Telangana,Madhapur,Plot,0,3668,46789008,116972,3,12756,81,38,6.61,5.36,7.66,17.340424,78.456165,Rented,2025
P0178,Mumbai,Maharashtra,Andheri,Apartment,2,1296,21050928,52627,3,16243,74,53,6.02,7.09,6.69,19.05407,72.851302,Sold,2024
P0179,Hyderabad,Telangana,Kondapur,Apartment,1,2329,37284961,93212,3,16009,85,61,6.97,5.63,6.53,17.374692,78.451361,Available,2024
P0180,Pune,Maharashtra,Hinjewadi,Villa,1,1404,18723744,46809,3,13336,84,46,7.39,5.63,7.88,18.47883,73.835567,Available,2025
P0181,Hyderabad,Telangana,Kondapur,Villa,3,2549,53636058,134090,3,21042,63,59,8.15,6.36,8.33,17.464667,78.502053,Sold,2024
